name,quantity,measurement,language,price_per_quantity,currency,shop,notes
protein salted,1,pc,de,2.99,euro,rewe,
croutons,1,pc,de,1.09,euro,rewe,
tomatensauce,1,pc,de,2.99,euro,rewe,
tomatensauce boscaiola,1,pc,de,2.78,euro,ebl,
tomatensauce ricotta,1,pc,de,2.85,euro,ebl,
tomatensauce,1,pc,de,2.18,euro,ebl,
bundaberg ginger,1,pc,de,1.59,euro,rewe,
müllsäcke,1,pc,de,1.93,euro,rewe,
trauerlicht,1,pc,de,2.79,euro,rewe,
banane chiquita,1,kg,de,1.95,euro,rewe,
avocado,1,pc,de,0.97,euro,rewe,
avocado,1,pc,de,3.56,euro,ebl,
hafer barista,1,pc,de,2.13,euro,rewe,
gemüse kürbis tiefgefroren,1,pc,de,2.99,euro,rewe,
gemüse brok. buchw. tiefgefroren,1,pc,de,2.99,euro,rewe,
mazola keimöl,1,pc,de,1.95,euro,rewe,
bio dill tiefgefroren,1,pc,de,0.78,euro,rewe,
thunfisch salat western,1,pc,de,2.63,euro,rewe,
thunfisch salat mexicana,1,pc,de,2.63,euro,rewe,
thunfisch salat linsen,1,pc,de,2.63,euro,rewe,
salami vegan,1,pc,de,1.27,euro,rewe,
mühlenwürstchen vegan,1,pc,de,2.99,euro,rewe,
mango,1,pc,de,0.97,euro,rewe,
mango,1,pc,de,1.7,euro,ebl,
junge erbsen tiefgefroren,1,pc,de,1.27,euro,rewe,
bio heidelberen tiefgefroren,1,pc,de,2.69,euro,rewe,
dinkel flakes,1,pc,de,2.35,euro,rewe,
protein cream,1,pc,de,4.99,euro,rewe,
cola zero,1.25,l,de,1.09,euro,aldi,
kaffee lavayya classico,1,pc,de,12.99,euro,aldi,
agavensirup,1,pc,de,2.59,euro,aldi,
kosmetiktücher,1,pc,de,0.59,euro,aldi,
toilettenpapier,1,pc,de,2.15,euro,aldi,
bio karotten,1,kg,de,0.99,euro,aldi,
alpenmilch 3.8,1,l,de,1.43,euro,ebl,
himbeeren tiefgefroren,1,pc,de,3.28,euro,ebl,
garnelen,1,pc,de,6.48,euro,ebl,
kaisergemüse tiefgefroren,1,pc,de,1.98,euro,ebl,
coco milk for drinking,1,pc,de,2.98,euro,ebl,
joghurt natur 3.5,1,pc,de,0.45,euro,ebl,
saurrahm,1,pc,de,0.85,euro,ebl,
birnen rot,1,kg,de,3.48,euro,ebl,
broccoli,1,kg,de,3.97,euro,ebl,
zwiebel gelb,1,kg,de,2.28,euro,ebl,
tomaten,1,kg,de,5.48,euro,ebl,
bananen,1,kg,de,2.25,euro,ebl,
Äpfel,1,kg,de,3.48,euro,ebl,
spinat baby,125,g,de,1.98,euro,ebl,
dinkel mehl,1,kg,de,2.98,euro,ebl,
weizen mehl,1,kg,de,1.28,euro,ebl,
emmentaler allgäuer,1,kg,de,15.8,euro,ebl,
quark magerstufe,500,g,de,1.48,euro,ebl,
zwiebel schalotten,1,kg,de,5.98,euro,ebl,
kartoffeln süß,1,kg,de,2.98,euro,ebl,
kartoffeln (bunte rot blau),1,kg,de,2.98,euro,ebl,
corn flakes,250,g,de,2.58,euro,ebl,
eier M,10,pc,de,5.38,euro,ebl,
streich bruschesto,1,pc,de,1.08,euro,ebl,
alpenbutter sauerrahm,250,g,de,2.99,euro,ebl,
mandel drink ungesüßt,1,l,de,2.78,euro,ebl,
ziegenkäse,150,g,de,2.78,euro,ebl,
petersilie bund,1,pc,de,1.28,euro,ebl,
datteln entsteint,500,g,de,4.48,euro,ebl,
erdbeeren,300,g,de,3.28,euro,ebl,
kabeljau-filets in Panade,2,pc,de,4.48,euro,ebl,
rahm-spinat,400,g,de,2.18,euro,ebl,
Staudensellerie,1,kg,de,3.98,euro,ebl,
karotten,1,kg,de,1.98,euro,ebl,
vollkorn reis gepufft,100,g,de,1.58,euro,ebl,
kokosöl nativ,0.4,l,de,4.58,euro,ebl,
wok gemüse pfanne,450,g,de,3.98,euro,ebl,
schlemmer-filet,1,pc,de,4.48,euro,ebl,
akazie honig,500,g,de,8.98,euro,ebl,
haferflocken kleinblatt,500,g,de,1.68,euro,ebl,
aubergine,1,kg,de,2.97,euro,ebl,
